flght_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
CZ4391,18:10:00,20:00:00,60,SHA,T1,XMN,T3,CZ,A320
CZ210,17:50:00,20:10:00,60,SHA,T3,SZX,T1,CZ,B772
CZ4917,15:00:00,17:35:00,60,TFU,T2,PVG,T1,CZ,B788
CZ1916,18:05:00,20:25:00,50,PKX,T2,HGH,T1,CZ,A332
CZ4960,17:35:00,20:05:00,50,XMN,T3,CKG,T2,CZ,B772
CZ9017,16:35:00,18:25:00,60,BZX,T3,TNA,T3,CZ,A320
CZ32,14:30:00,17:25:00,50,TFU,T2,SHA,T2,CZ,A320
CZ1974,17:15:00,19:30:00,60,SHA,T3,PKX,T2,CZ,A359
CZ9142,17:40:00,20:30:00,50,PEK,T3,CTU,T1,CZ,B788
CZ4873,16:15:00,18:20:00,60,TFU,T3,NKG,T1,CZ,C919
CZ9076,16:40:00,18:55:00,60,SZX,T3,CTU,T2,CZ,A333
CZ4322,17:15:00,19:50:00,60,XMN,T2,KWE,T1,CZ,B788
CZ4429,17:55:00,19:35:00,50,SHA,T2,FOC,T2,CZ,B77W
CZ4365,17:30:00,20:05:00,50,CKG,T3,HGH,T3,CZ,A332
CZ4120,17:00:00,20:00:00,50,XMN,T2,PKX,T3,CZ,A320
CZ4166,16:40:00,19:35:00,60,XMN,T1,XIY,T3,CZ,B772
CZ7960,15:50:00,18:25:00,60,PVG,T1,HAN,T3,CZ,B772
CZ7802,16:20:00,20:50:00,50,PEK,T1,HND,T2,CZ,A321
CZ4403,16:10:00,17:55:00,60,SHA,T2,XMN,T3,CZ,B788
CZ120,15:45:00,18:40:00,60,PVG,T3,CKG,T1,CZ,B737
CZ7956,15:45:00,18:40:00,50,PEK,T3,HAN,T1,CZ,B77W
CZ9090,17:00:00,19:10:00,60,CAN,T1,CTU,T1,CZ,B772
CZ9116,16:30:00,19:05:00,50,SZX,T1,CKG,T2,CZ,C919
CZ165,18:20:00,20:05:00,60,NKG,T2,DLC,T1,CZ,B789
CZ4540,16:25:00,18:15:00,50,XMN,T1,CSX,T3,CZ,A388
CZ21,15:45:00,18:00:00,60,PVG,T2,CSX,T2,CZ,AJ27
CZ1313,10:40:00,15:40:00,60,DOH,T3,ATH,T2,CZ,B738
CZ215,17:40:00,19:35:00,50,XIY,T1,KWE,T3,CZ,B737
CZ9022,15:30:00,16:55:00,60,CKG,T2,KMG,T3,CZ,B738
CZ4452,16:20:00,18:00:00,60,XMN,T1,HGH,T2,CZ,B789
CZ4765,15:20:00,18:40:00,50,TFU,T2,URC,T3,CZ,C919
CZ4043,17:35:00,20:05:00,60,TNA,T3,FOC,T3,CZ,B788
CZ7962,15:10:00,18:30:00,60,PVG,T1,SGN,T3,CZ,B738
CZ90,15:10:00,16:55:00,60,PVG,T1,TAO,T1,CZ,B789
CZ1510,10:40:00,15:25:00,60,TFU,T1,SIN,T3,CZ,B738
CZ100,15:10:00,17:55:00,60,PVG,T3,XIY,T1,CZ,A320
CZ9182,15:05:00,18:10:00,60,PVG,T2,CTU,T2,CZ,A21N
CZ9140,15:30:00,18:30:00,60,PEK,T2,CTU,T3,CZ,B737
CZ4504,18:15:00,20:25:00,50,FOC,T3,HAK,T2,CZ,B788
CZ9074,15:30:00,17:55:00,60,SZX,T2,CTU,T3,CZ,B77W
CZ48,16:15:00,19:25:00,50,SHA,T3,SYX,T3,CZ,A388
CZ1516,15:10:00,18:00:00,60,TFU,T2,HKT,T1,CZ,A20N
CZ4065,15:55:00,18:55:00,60,PKX,T1,FOC,T1,CZ,B789
CZ1472,15:15:00,18:40:00,50,PKX,T2,KMG,T3,CZ,A359
CZ4258,15:50:00,17:45:00,50,XMN,T2,WUH,T3,CZ,A388
CZ181,14:05:00,16:30:00,60,TFU,T1,NKG,T3,CZ,B738
CZ4431,16:30:00,18:20:00,60,NKG,T3,XMN,T2,CZ,C919
CZ4320,15:40:00,18:50:00,50,XMN,T1,KMG,T1,CZ,B788
CZ7580,17:50:00,22:55:00,60,SYD,T2,AKL,T2,CZ,A388
CZ8540,17:55:00,20:40:00,50,TFU,T1,SWA,T1,CZ,A21N
CZ46,14:55:00,16:50:00,50,SHA,T3,CSX,T2,CZ,A388
CZ1449,18:50:00,20:30:00,60,FOC,T3,NTG,T1,CZ,B737
CZ7564,9:20:00,10:55:00,60,SYD,T1,BNE,T1,CZ,A321
CZ9349,7:15:00,8:50:00,60,TFU,T3,LHW,T1,CZ,B789
CZ9098,6:55:00,9:05:00,50,CAN,T3,CKG,T1,CZ,B789
CZ4468,7:10:00,8:55:00,60,JJN,T1,WUH,T1,CZ,A320
CZ3240,7:30:00,8:50:00,50,CIF,T3,HET,T2,CZ,AJ27
CZ1052,8:45:00,9:50:00,50,MEL,T3,CBR,T3,CZ,AJ27
CZ7439,8:35:00,9:25:00,50,MEL,T3,ADL,T3,CZ,A359
CZ6134,7:40:00,8:55:00,60,PKX,T3,DLC,T2,CZ,A333
CZ222,7:10:00,9:00:00,50,WUX,T1,CSX,T3,CZ,B788
CZ4961,6:50:00,8:55:00,50,CKG,T1,CZX,T2,CZ,A359
CZ4731,7:05:00,8:50:00,50,YBP,T1,CSX,T2,CZ,A359
CZ4152,6:35:00,9:00:00,50,XMN,T1,CGO,T1,CZ,B772
CZ9481,6:50:00,8:35:00,60,TAO,T2,CGQ,T3,CZ,B788
CZ9493,6:40:00,8:45:00,60,TAO,T1,CGO,T2,CZ,A320
CZ6443,6:40:00,8:00:00,50,SZX,T2,HAK,T3,CZ,B789
CZ3977,6:50:00,8:20:00,50,SYX,T3,SZX,T2,CZ,AJ27
CZ118,6:40:00,8:55:00,60,SHA,T3,TYN,T1,CZ,A388
CZ8554,6:30:00,8:55:00,60,LYA,T2,SZX,T3,CZ,A388
CZ1877,6:50:00,8:50:00,60,KMG,T2,ZUH,T3,CZ,B772
CZ4014,7:05:00,9:20:00,60,JJN,T3,CGO,T3,CZ,A359
CZ4424,6:40:00,8:10:00,60,JJN,T3,HSN,T2,CZ,A21N
CZ9055,6:30:00,7:45:00,60,CTU,T2,DLU,T2,CZ,A359
CZ1043,7:35:00,8:35:00,50,SYD,T1,CBR,T2,CZ,AJ27
CZ195,6:40:00,8:55:00,50,CAN,T1,SHA,T3,CZ,A332
CZ6748,6:25:00,8:10:00,50,CAN,T2,SYX,T1,CZ,B77W
CZ9057,6:25:00,7:50:00,60,CTU,T2,KMG,T2,CZ,A20N
CZ2362,1:15:00,5:15:00,50,BKK,T1,CKG,T3,CZ,AJ27
CZ1007,7:10:00,8:05:00,60,MEL,T1,ADL,T1,CZ,A319
CZ707,2:10:00,7:45:00,50,PVG,T1,KUL,T3,CZ,AJ27
CZ1039,6:10:00,9:05:00,60,ADL,T2,BNE,T3,CZ,A388
CZ1037,6:20:00,7:50:00,50,MKY,T3,BNE,T3,CZ,A21N
CZ1059,6:25:00,9:50:00,60,MEL,T3,CNS,T2,CZ,B772
CZ7438,6:15:00,7:05:00,50,MEL,T2,ADL,T3,CZ,C919
CZ7566,7:05:00,8:15:00,50,CBR,T1,SYD,T1,CZ,B77W
CZ1062,6:20:00,8:00:00,50,CBR,T2,BNE,T3,CZ,A333
CZ1044,6:05:00,7:05:00,60,CBR,T1,SYD,T2,CZ,A21N
CZ7590,6:00:00,8:30:00,50,BNE,T1,MEL,T3,CZ,A321
CZ7570,6:00:00,7:25:00,50,HBA,T1,MEL,T1,CZ,A359
CZ1090,6:05:00,8:00:00,50,TSV,T3,BNE,T2,CZ,A359
CZ1017,6:00:00,7:30:00,60,SYD,T3,BNE,T1,CZ,A332
CZ1021,6:00:00,7:35:00,60,SYD,T2,MEL,T1,CZ,A320
CZ1046,6:00:00,7:30:00,50,OOL,T1,SYD,T1,CZ,A388
CZ7963,0:35:00,6:30:00,60,SGN,T3,PKX,T2,CZ,A319
CZ8481,2:35:00,7:45:00,60,CAN,T2,DPS,T1,CZ,AJ27
CZ8354,0:20:00,6:40:00,60,CGK,T2,SZX,T3,CZ,A319
CZ7871,0:20:00,4:30:00,60,CAN,T1,DXB,T2,CZ,A320
CZ5080,1:30:00,5:50:00,50,KUL,T3,SZX,T3,CZ,B772
CZ7576,8:20:00,10:10:00,50,AKL,T1,SYD,T2,CZ,A20N
CZ9191,6:55:00,9:20:00,60,CTU,T1,WUX,T2,CZ,A319
CZ4933,7:05:00,9:35:00,50,CKG,T1,WNZ,T1,CZ,A320
CZ9113,7:10:00,9:10:00,60,CKG,T1,SZX,T3,CZ,A320
CZ68,6:40:00,9:20:00,60,PVG,T1,ZUH,T1,CZ,A359
CZ4945,6:55:00,8:55:00,60,CKG,T2,ZUH,T2,CZ,A20N
CZ9349,7:15:00,8:50:00,50,TFU,T3,LHW,T3,CZ,B772
CZ9098,6:55:00,9:05:00,50,CAN,T3,CKG,T2,CZ,B789
CZ4468,7:10:00,8:55:00,50,JJN,T1,WUH,T2,CZ,A359
CZ6590,7:30:00,8:40:00,60,ENH,T3,WUH,T3,CZ,A319
CZ3240,7:30:00,8:50:00,60,CIF,T2,HET,T2,CZ,A320
CZ9415,7:20:00,9:30:00,50,CGQ,T1,TNA,T3,CZ,C919
CZ685,8:00:00,10:10:00,60,DLC,T1,ICN,T3,CZ,B77W
CZ6125,7:30:00,9:00:00,50,DLC,T3,PKX,T2,CZ,B788
CZ3674,8:00:00,9:40:00,60,KWE,T1,SZX,T3,CZ,B789
CZ4541,7:50:00,9:40:00,50,CSX,T3,XMN,T1,CZ,B772
CZ3354,7:30:00,9:00:00,50,BHY,T2,CAN,T3,CZ,A21N
CZ6919,8:00:00,9:30:00,60,AKU,T2,URC,T2,CZ,A321
CZ4961,6:50:00,8:55:00,50,CKG,T1,CZX,T1,CZ,A21N
CZ9048,11:05:00,12:55:00,50,LZY,T3,CTU,T3,CZ,A20N
CZ9046,10:30:00,12:20:00,60,LZY,T1,CTU,T3,CZ,A332
CZ1528,1:25:00,14:15:00,60,TFU,T1,SYD,T3,CZ,A21N
CZ4915,8:00:00,10:40:00,60,TFU,T2,PVG,T1,CZ,B772
CZ9044,9:50:00,11:35:00,50,LZY,T2,CTU,T1,CZ,B77W
CZ4102,10:00:00,12:05:00,50,HGH,T3,PKX,T1,CZ,A332
CZ7118,10:50:00,13:15:00,50,CKG,T2,HGH,T3,CZ,B789
CZ4359,10:30:00,12:40:00,60,CKG,T3,HGH,T2,CZ,B772
CZ9263,8:50:00,10:45:00,60,TFU,T1,CGO,T1,CZ,B77W
CZ1925,10:15:00,12:20:00,60,SHA,T1,PKX,T2,CZ,A333
CZ4383,10:10:00,11:55:00,50,SHA,T3,XMN,T1,CZ,A320
CZ1023,12:00:00,13:25:00,50,MEL,T1,SYD,T2,CZ,B738
CZ9137,9:30:00,12:15:00,50,CTU,T1,PEK,T1,CZ,A321
CZ9303,9:15:00,12:00:00,50,CTU,T3,XMN,T3,CZ,A319
CZ1902,9:05:00,11:20:00,50,PVG,T2,PKX,T2,CZ,A332
CZ9160,9:00:00,11:55:00,60,HGH,T1,CTU,T2,CZ,A20N
CZ9331,8:55:00,11:40:00,60,CTU,T2,HGH,T3,CZ,C919
CZ4082,9:00:00,11:55:00,50,XMN,T3,PKX,T2,CZ,B789
CZ4609,8:45:00,11:45:00,50,HGH,T3,KMG,T1,CZ,B737
CZ9106,10:55:00,12:55:00,60,CSX,T1,CTU,T3,CZ,AJ27
CZ45,10:45:00,12:45:00,50,CSX,T3,PVG,T3,CZ,B788
CZ4361,8:05:00,10:25:00,50,CKG,T1,HGH,T2,CZ,A332
CZ7552,11:40:00,13:15:00,60,BNE,T2,SYD,T2,CZ,B789
CZ1020,11:05:00,12:40:00,50,BNE,T1,SYD,T1,CZ,A21N
CZ1482,8:30:00,10:35:00,60,PKX,T2,NZL,T1,CZ,A320
CZ7553,10:20:00,11:55:00,50,BNE,T2,SYD,T2,CZ,A21N
CZ7803,8:50:00,12:00:00,50,HND,T2,PEK,T3,CZ,B738
CZ9275,9:20:00,10:40:00,50,HRB,T2,JGD,T3,CZ,B738
CZ1049,9:55:00,12:20:00,50,BNE,T3,MEL,T3,CZ,B788
CZ9185,7:15:00,9:40:00,50,CKG,T1,PVG,T3,CZ,A21N
CZ4348,10:10:00,12:40:00,60,HGH,T3,KWE,T2,CZ,B77W
CZ4287,11:00:00,12:30:00,50,CAN,T1,JJN,T2,CZ,A332
CZ9297,9:05:00,12:50:00,50,TFU,T1,HRB,T1,CZ,A319
CZ4180,9:15:00,12:15:00,60,HGH,T3,LHW,T3,CZ,B737
CZ1,10:55:00,12:20:00,50,XIY,T3,ZHY,T2,CZ,B737
CZ9429,10:05:00,12:10:00,60,HRB,T3,YNT,T3,CZ,C919
CZ9144,11:10:00,12:25:00,50,CTU,T2,XIC,T3,CZ,A21N
CZ7095,9:30:00,12:15:00,60,HRB,T3,XUZ,T2,CZ,A359
CZ6832,10:40:00,12:10:00,50,TWC,T2,URC,T3,CZ,A321
CZ78,9:20:00,12:30:00,50,SHA,T3,SYX,T1,CZ,B789
CZ4012,9:45:00,12:50:00,60,HGH,T1,CGQ,T2,CZ,B738
CZ3474,10:50:00,13:00:00,60,TFU,T1,CGO,T2,CZ,B77W
CZ7593,10:10:00,12:00:00,60,ADL,T3,MEL,T3,CZ,B789
CZ4490,7:55:00,12:00:00,50,XMN,T3,LHW,T3,CZ,A319
CZ4500,9:10:00,11:25:00,60,CKG,T1,YNZ,T2,CZ,A21N
CZ4309,8:50:00,11:25:00,50,CKG,T1,XMN,T3,CZ,A321
CZ4935,9:30:00,11:50:00,60,CKG,T3,WUX,T1,CZ,A388
CZ9193,8:55:00,11:35:00,50,CTU,T1,WUX,T1,CZ,B772
CZ9257,9:10:00,12:05:00,60,SHE,T3,WUH,T3,CZ,A321
CZ7159,9:35:00,11:35:00,50,HGH,T2,XFN,T1,CZ,A321
CZ9035,8:15:00,11:55:00,50,CTU,T1,URC,T1,CZ,B788
CZ1577,7:50:00,11:25:00,50,CTU,T2,URC,T3,CZ,A333
CZ4114,9:05:00,11:25:00,50,HGH,T1,TYN,T3,CZ,A321
CZ4859,9:15:00,11:15:00,50,TFU,T1,TYN,T1,CZ,A333
CZ9474,9:20:00,11:50:00,50,TFU,T1,TAO,T3,CZ,B772
CZ206,9:45:00,12:05:00,50,SHA,T2,SZX,T3,CZ,A20N
CZ1404,9:15:00,11:10:00,50,HGH,T2,SJW,T1,CZ,B789
CZ4542,9:25:00,11:55:00,50,HGH,T1,LZH,T3,CZ,A333
CZ1072,11:25:00,13:45:00,60,MEL,T3,MCY,T2,CZ,B789
CZ9063,9:30:00,12:00:00,50,CTU,T2,LXA,T2,CZ,A321
CZ7291,11:40:00,13:00:00,60,JHG,T2,LJG,T3,CZ,A333
CZ6123,11:30:00,13:05:00,60,DLC,T2,PKX,T2,CZ,A388
CZ3628,11:15:00,12:55:00,60,CKG,T3,WUH,T1,CZ,A320
CZ3320,9:55:00,11:45:00,50,AQG,T1,CAN,T1,CZ,A319
CZ6786,11:30:00,12:55:00,60,CAN,T3,HAK,T1,CZ,A320
CZ3763,11:10:00,13:00:00,50,CAN,T2,WNZ,T2,CZ,A359
CZ4941,9:30:00,11:35:00,60,CKG,T2,NKG,T1,CZ,AJ27
CZ1536,1:35:00,6:30:00,60,TFU,T2,IST,T3,CZ,A359
CZ4975,8:05:00,12:00:00,60,CKG,T1,HRB,T1,CZ,B737
CZ4522,8:45:00,11:45:00,50,HGH,T1,HRB,T2,CZ,B788
CZ4558,9:10:00,12:00:00,60,HGH,T2,BHY,T2,CZ,B738
CZ16,17:30:00,20:20:00,60,TFU,T2,PVG,T3,CZ,A20N
CZ4917,16:30:00,19:00:00,60,TFU,T2,PVG,T1,CZ,B737
CZ7344,11:55:00,14:10:00,50,AMS,T1,FCO,T3,CZ,B789
CZ1520,14:40:00,16:50:00,50,TFU,T1,BKK,T3,CZ,A388
CZ124,18:05:00,20:20:00,50,PVG,T1,PKX,T3,CZ,A21N
CZ1957,18:00:00,20:15:00,50,PVG,T2,PKX,T3,CZ,A332
CZ1489,19:00:00,21:00:00,50,XIY,T2,PKX,T1,CZ,A319
CZ37,18:15:00,20:05:00,50,SHA,T1,XMN,T2,CZ,A359
CZ4391,18:10:00,20:00:00,60,SHA,T1,XMN,T2,CZ,A320
CZ7556,21:00:00,22:25:00,60,MEL,T1,SYD,T1,CZ,A333
CZ7008,14:55:00,18:15:00,50,JNH,T2,CTU,T2,CZ,A319
CZ7342,11:40:00,13:45:00,60,CDG,T3,FCO,T1,CZ,B772
CZ210,17:50:00,20:10:00,50,SHA,T3,SZX,T1,CZ,A359
CZ1947,19:00:00,21:05:00,60,PKX,T3,HGH,T2,CZ,B738
CZ1916,18:05:00,20:25:00,60,PKX,T2,HGH,T3,CZ,A321
CZ4960,17:35:00,20:15:00,50,XMN,T1,CKG,T3,CZ,A332
CZ32,14:30:00,17:25:00,60,TFU,T1,SHA,T3,CZ,C919
CZ1974,17:15:00,19:30:00,60,SHA,T1,PKX,T1,CZ,B738
CZ88,16:55:00,19:40:00,50,PVG,T1,XIY,T2,CZ,A388
CZ9142,17:40:00,20:25:00,60,PEK,T1,CTU,T2,CZ,A319
CZ4873,16:15:00,18:20:00,60,TFU,T2,NKG,T3,CZ,A320
CZ1968,18:40:00,20:40:00,50,NKG,T2,PKX,T2,CZ,B737
CZ7589,19:25:00,0:30:00,60,SYD,T3,AKL,T1,CZ,B738
CZ4233,18:15:00,19:50:00,60,CAN,T1,FOC,T2,CZ,A332
CZ4429,17:55:00,19:10:00,60,SHA,T1,FOC,T2,CZ,A319
CZ9076,16:40:00,18:55:00,60,SZX,T2,CTU,T1,CZ,AJ27
CZ190,18:05:00,20:00:00,50,NKG,T1,XMN,T3,CZ,A333
CZ290,16:35:00,18:55:00,60,PKX,T3,CSX,T3,CZ,A359
CZ4120,17:00:00,20:00:00,60,XMN,T1,PKX,T3,CZ,A319
CZ9116,16:30:00,19:00:00,50,SZX,T3,CKG,T2,CZ,C919
CZ4130,18:05:00,20:35:00,60,HGH,T3,HET,T1,CZ,B772
CZ1836,11:50:00,16:05:00,60,KTI,T3,CKG,T2,CZ,A21N
CZ4365,17:30:00,19:50:00,60,CKG,T3,HGH,T3,CZ,C919
CZ1910,16:30:00,19:25:00,50,PKX,T2,CTU,T2,CZ,A388
CZ4540,16:25:00,18:15:00,60,XMN,T2,CSX,T3,CZ,AJ27
CZ4401,18:10:00,20:25:00,60,TNA,T3,XMN,T3,CZ,A388
CZ4403,16:10:00,17:55:00,60,SHA,T3,XMN,T1,CZ,A21N
CZ7802,16:20:00,20:50:00,60,PEK,T3,HND,T1,CZ,AJ27
CZ9419,17:15:00,20:05:00,60,NKG,T1,HRB,T3,CZ,C919
CZ4452,16:20:00,18:00:00,50,XMN,T1,HGH,T2,CZ,B77W
CZ74,18:45:00,20:35:00,60,PVG,T2,DLC,T2,CZ,A21N
CZ7580,17:50:00,22:55:00,60,SYD,T1,AKL,T2,CZ,A388
CZ4224,15:55:00,18:20:00,60,SHA,T1,SZX,T2,CZ,B738
CZ7960,15:50:00,18:25:00,50,PVG,T3,HAN,T1,CZ,A319
CZ7956,15:45:00,18:40:00,60,PEK,T3,HAN,T3,CZ,B772
CZ9140,15:30:00,18:30:00,50,PEK,T2,CTU,T2,CZ,B788
CZ21,15:45:00,18:00:00,50,PVG,T3,CSX,T3,CZ,A21N
CZ48,16:15:00,19:25:00,60,SHA,T2,SYX,T3,CZ,A321
CZ181,14:05:00,16:30:00,60,TFU,T2,NKG,T1,CZ,C919
CZ7077,17:10:00,20:25:00,50,PVG,T1,INC,T1,CZ,C919
CZ4283,15:35:00,17:40:00,60,CAN,T3,HGH,T1,CZ,A20N
CZ9159,18:20:00,21:05:00,50,CTU,T2,HGH,T2,CZ,A20N
CZ9147,18:00:00,20:30:00,60,CTU,T3,PEK,T3,CZ,B788
CZ1042,8:50:00,9:50:00,60,SYD,T3,CBR,T1,CZ,A333
CZ4056,7:15:00,9:00:00,60,JJN,T1,NKG,T2,CZ,A388
CZ1033,8:35:00,9:55:00,50,MEL,T2,HBA,T1,CZ,A388
CZ685,7:50:00,10:10:00,60,DLC,T3,ICN,T1,CZ,A21N
CZ6337,7:15:00,9:10:00,50,DLC,T3,NKG,T1,CZ,B77W
CZ3354,7:30:00,9:00:00,60,BHY,T1,CAN,T1,CZ,C919
CZ3240,7:30:00,8:50:00,60,CIF,T1,HET,T3,CZ,A388
CZ6134,7:40:00,8:55:00,50,PKX,T2,DLC,T1,CZ,B77W
CZ3330,7:10:00,8:20:00,50,ZHA,T2,CAN,T2,CZ,A319
CZ4212,7:30:00,9:05:00,50,XMN,T3,CAN,T2,CZ,A319
CZ9109,7:30:00,8:30:00,50,XIC,T2,CTU,T1,CZ,A21N
CZ3895,7:30:00,8:45:00,50,SWA,T2,CAN,T2,CZ,B788
CZ9055,6:30:00,7:45:00,50,CTU,T3,DLU,T3,CZ,C919
CZ9057,6:25:00,7:50:00,50,CTU,T2,KMG,T3,CZ,AJ27
CZ9249,6:10:00,8:25:00,50,CTU,T1,LXA,T2,CZ,B77W
CZ1043,7:35:00,8:35:00,50,SYD,T2,CBR,T3,CZ,A388
CZ3533,7:00:00,9:20:00,60,CAN,T1,SHA,T3,CZ,A320
CZ195,6:40:00,8:55:00,50,CAN,T1,SHA,T2,CZ,B737
CZ1924,7:00:00,9:10:00,60,PKX,T2,SHA,T1,CZ,B77W
CZ4731,7:05:00,8:50:00,60,YBP,T2,CSX,T1,CZ,B789
CZ6282,6:30:00,8:50:00,50,XUZ,T2,CAN,T2,CZ,C919
CZ4382,7:00:00,8:50:00,50,XMN,T1,SHA,T3,CZ,A320
CZ4152,6:35:00,9:00:00,60,XMN,T2,CGO,T3,CZ,A388
CZ4713,6:55:00,9:10:00,60,TSN,T3,KHN,T2,CZ,A388
CZ7441,7:00:00,9:05:00,60,TAO,T3,WNZ,T1,CZ,A388
CZ9481,6:25:00,8:35:00,50,TAO,T3,CGQ,T1,CZ,A333
CZ3351,6:45:00,9:20:00,60,SZX,T2,CZX,T2,CZ,A20N
CZ3568,6:30:00,8:50:00,50,SZX,T1,SHA,T3,CZ,B788
CZ6731,7:00:00,8:50:00,60,SYX,T2,CAN,T2,CZ,B789
CZ3977,6:50:00,8:20:00,50,SYX,T3,SZX,T2,CZ,A321
CZ4285,6:35:00,8:40:00,50,SZX,T2,HGH,T1,CZ,A21N
CZ9071,6:30:00,9:00:00,50,CTU,T1,SZX,T1,CZ,B738
CZ9131,6:25:00,9:10:00,50,CTU,T3,TSN,T3,CZ,B738
CZ4929,6:30:00,9:00:00,50,CKG,T2,TSN,T3,CZ,B788
CZ4915,8:00:00,10:40:00,60,TFU,T3,PVG,T3,CZ,A332
CZ1536,1:35:00,6:30:00,60,TFU,T1,IST,T1,CZ,C919
CZ7121,8:45:00,11:05:00,60,HGH,T1,SZX,T3,CZ,A333
CZ1599,8:30:00,11:20:00,50,CTU,T3,PVG,T2,CZ,A21N
CZ1482,8:30:00,10:35:00,50,PKX,T2,NZL,T2,CZ,A332
CZ7562,9:55:00,11:30:00,50,SYD,T3,BNE,T3,CZ,A20N
CZ9275,9:20:00,10:40:00,50,HRB,T1,JGD,T1,CZ,B737
CZ7564,9:20:00,10:55:00,50,SYD,T3,BNE,T3,CZ,A321
CZ7560,10:15:00,11:55:00,50,SYD,T3,ADL,T2,CZ,A333
CZ3549,6:55:00,9:15:00,50,PVG,T2,CAN,T3,CZ,A321
CZ7575,8:55:00,14:05:00,50,SYD,T1,AKL,T1,CZ,B77W
CZ1902,9:05:00,11:20:00,50,PVG,T3,PKX,T2,CZ,A319
CZ4272,8:25:00,10:45:00,50,SHA,T3,SZX,T3,CZ,B77W
CZ1057,10:40:00,13:10:00,50,BNE,T1,CNS,T3,CZ,A321
CZ4490,7:55:00,11:55:00,60,XMN,T3,LHW,T3,CZ,AJ27
CZ4082,9:00:00,11:55:00,50,XMN,T2,PKX,T1,CZ,A320
CZ4867,8:50:00,11:30:00,50,TFU,T2,WNZ,T1,CZ,A321
CZ4114,9:05:00,11:25:00,50,HGH,T2,TYN,T3,CZ,A20N
CZ4859,9:15:00,11:15:00,50,TFU,T3,TYN,T2,CZ,A359
CZ19,9:35:00,11:35:00,60,TAO,T2,CGQ,T3,CZ,B737
CZ1052,12:10:00,13:15:00,50,MEL,T2,CBR,T1,CZ,B77W
CZ1953,8:00:00,11:00:00,50,TFU,T3,PKX,T1,CZ,A332
CZ128,8:20:00,10:35:00,60,PVG,T1,PKX,T1,CZ,A20N
CZ4837,8:30:00,10:25:00,50,TFU,T1,WUH,T1,CZ,A388
CZ4148,7:50:00,10:25:00,50,HGH,T1,XIY,T1,CZ,A21N
CZ35,8:45:00,10:50:00,60,PVG,T1,XMN,T2,CZ,B772
CZ4451,8:25:00,10:15:00,60,HGH,T3,XMN,T3,CZ,A321
CZ9497,8:05:00,10:10:00,60,TAO,T1,WNZ,T2,CZ,AJ27
CZ1506,8:55:00,9:35:00,60,KMG,T2,VTE,T1,CZ,A321
CZ9281,8:10:00,10:45:00,50,TFU,T3,TSN,T2,CZ,A321
CZ4160,8:10:00,10:20:00,50,HGH,T3,TSN,T2,CZ,A320
CZ9255,8:15:00,10:35:00,60,TFU,T3,TNA,T1,CZ,A320
CZ1436,9:00:00,11:00:00,60,HGH,T3,SJW,T1,CZ,A333
CZ4861,8:45:00,10:55:00,60,TFU,T2,SJW,T1,CZ,B737
CZ4863,8:00:00,10:25:00,60,TFU,T2,PEK,T1,CZ,A332
CZ6648,10:10:00,11:45:00,60,NGB,T2,WUH,T1,CZ,A320
CZ4789,8:20:00,10:45:00,50,TFU,T2,LXA,T3,CZ,C919
CZ9425,10:30:00,11:55:00,60,JHG,T1,LJG,T1,CZ,B772
CZ1456,8:00:00,10:50:00,60,HGH,T3,INC,T1,CZ,AJ27
CZ4877,8:25:00,10:35:00,50,TFU,T1,HFE,T1,CZ,B789
CZ4821,8:10:00,10:20:00,50,TFU,T3,HAK,T3,CZ,A359
CZ9152,7:45:00,10:25:00,60,PEK,T1,CTU,T2,CZ,A319
CZ7129,9:00:00,10:55:00,60,HGH,T3,CSX,T1,CZ,A388
CZ4829,8:25:00,10:20:00,60,TFU,T1,CSX,T3,CZ,B772
CZ4813,8:00:00,10:25:00,50,TFU,T1,CAN,T2,CZ,A319
CZ136,7:40:00,10:20:00,60,PVG,T1,CGQ,T2,CZ,B737
CZ1084,11:20:00,13:00:00,50,MCY,T1,SYD,T2,CZ,A359
CZ4809,7:50:00,9:50:00,60,TFU,T2,LUM,T2,CZ,B788
CZ4338,7:25:00,9:55:00,60,HGH,T2,KWE,T2,CZ,A321
CZ7002,7:00:00,9:40:00,60,JNH,T1,KWE,T3,CZ,A21N
CZ70,8:05:00,9:50:00,50,PVG,T3,DLC,T3,CZ,A21N
CZ9105,8:00:00,9:55:00,60,CTU,T3,CSX,T2,CZ,B772
CZ7134,7:00:00,9:45:00,50,JNH,T1,CKG,T3,CZ,A388
CZ7459,8:25:00,11:50:00,60,MEL,T3,CNS,T1,CZ,C919
CZ4825,8:05:00,9:45:00,50,TFU,T2,CGO,T2,CZ,A333
CZ6774,9:30:00,10:55:00,50,CAN,T3,HAK,T3,CZ,A333
CZ3380,9:20:00,10:50:00,60,CAN,T3,CSX,T2,CZ,B788
CZ3505,9:15:00,10:50:00,60,CAN,T2,FOC,T2,CZ,A388
CZ3437,9:15:00,11:45:00,60,CAN,T2,CTU,T1,CZ,A359
CZ3803,9:10:00,11:15:00,60,CAN,T1,HGH,T2,CZ,A359
CZ6126,10:05:00,11:30:00,50,PKX,T2,DLC,T1,CZ,B772
CZ5983,9:30:00,11:30:00,50,PKX,T3,HRB,T2,CZ,B738
