flight_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,base_price,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
CA1809,9:30:00,12:25:00,50,770,PEK,T3,XMN,T4,CA,A321
CA1810,13:35:00,16:30:00,50,920,XMN,T4,PEK,T3,CA,B738
CA1811,17:35:00,20:35:00,50,910,PEK,T3,XMN,T4,CA,B738
CA1813,7:55:00,9:45:00,50,620,PEK,T3,HFE,T1,CA,A321
CA1814,10:35:00,12:25:00,50,800,HFE,T1,PEK,T3,CA,A320
CA1815,16:30:00,19:30:00,50,610,PEK,T3,XMN,T4,CA,B738
CA1817,8:10:00,10:20:00,50,850,PEK,T3,NKG,T1,CA,A321
CA1818,11:20:00,13:20:00,50,720,NKG,T1,PEK,T3,CA,B738
CA1819,21:00:00,22:45:00,50,520,PEK,T3,NKG,T1,CA,A321
CA1820,8:45:00,10:35:00,50,750,NKG,T1,PEK,T3,CA,B737
CA1829,16:20:00,18:40:00,50,700,CAN,T3,SHA,T2,CA,B738
CA1830,19:55:00,22:20:00,50,790,SHA,T2,CAN,T3,CA,B738
CA1831,6:30:00,9:25:00,50,640,PEK,T3,XMN,T4,CA,A320
CA1832,10:40:00,13:45:00,50,580,XMN,T4,PEK,T3,CA,B789
CA1833,11:25:00,14:30:00,50,680,PEK,T3,XMN,T4,CA,A321
CA1834,15:40:00,19:00:00,50,730,XMN,T4,PEK,T3,CA,A321
CA1837,9:00:00,11:20:00,50,830,CAN,T3,SHA,T2,CA,A319
CA1838,12:35:00,15:05:00,50,920,SHA,T2,CAN,T3,CA,B738
CA1841,6:30:00,8:15:00,50,440,PEK,T2,YTY,T1,CA,A320
CA1842,9:00:00,10:40:00,50,530,YTY,T1,PEK,T2,CA,A321
CA1843,13:15:00,15:20:00,50,590,PEK,T3,HFE,T1,CA,A321
CA1844,16:40:00,18:55:00,50,540,HFE,T1,PEK,T3,CA,B738
CA1845,20:30:00,22:25:00,50,700,PEK,T3,HFE,T1,CA,B737
CA1848,13:40:00,15:40:00,50,530,NKG,T1,PEK,T3,CA,A319
CA1851,7:15:00,9:45:00,50,830,PEK,T3,HYN,T1,CA,A320
CA1852,10:30:00,13:10:00,50,810,HYN,T1,PEK,T3,CA,B737
CA1853,21:05:00,23:25:00,50,820,PEK,T3,NGB,T2,CA,A320
CA1854,9:25:00,11:50:00,50,650,NGB,T2,PEK,T3,CA,B737
CA1859,18:30:00,21:15:00,50,930,PEK,T3,FOC,T1,CA,A320
CA1865,17:05:00,19:40:00,50,750,PVG,T2,CAN,T3,CA,A320
CA1866,20:55:00,23:20:00,50,890,CAN,T3,PVG,T2,CA,B737
CA1867,12:40:00,14:45:00,50,700,PEK,T3,FUG,T1,CA,B738
CA1868,15:55:00,18:00:00,50,690,FUG,T1,PEK,T3,CA,B738
CA1871,14:25:00,17:30:00,50,690,PEK,T3,XMN,T4,CA,B789
CA1872,18:45:00,21:55:00,50,950,XMN,T4,PEK,T3,CA,A333
CA1873,15:15:00,17:40:00,50,770,PEK,T3,LIJ,T1,CA,A321
CA1874,18:35:00,20:55:00,50,720,LIJ,T1,PEK,T3,CA,B737
CA1879,8:15:00,10:25:00,50,820,PEK,T3,YIW,T1,CA,A320
CA1880,11:10:00,13:30:00,50,490,YIW,T1,PEK,T3,CA,B738
CA1881,19:05:00,21:35:00,50,810,PEK,T3,HYN,T1,CA,B738
CA1883,20:30:00,22:50:00,50,570,PEK,T3,PVG,T2,CA,A321
CA1884,16:20:00,19:00:00,50,890,PVG,T2,PEK,T3,CA,A321
CA1885,9:15:00,11:15:00,50,790,PEK,T3,JNH,T1,CA,A319
CA1886,12:00:00,14:15:00,50,730,JNH,T1,PEK,T3,CA,A320
CA1887,17:30:00,19:40:00,50,550,PEK,T3,JDZ,T1,CA,A321
CA1888,20:25:00,22:45:00,50,660,JDZ,T1,PEK,T3,CA,A320
CA1891,13:20:00,15:45:00,50,480,PEK,T3,JUZ,T1,CA,A321
CA1892,16:30:00,18:55:00,50,860,JUZ,T1,PEK,T3,CA,B738
CA1893,7:30:00,10:00:00,50,880,PVG,T2,SZX,T3,CA,A319
CA1894,11:15:00,13:50:00,50,940,SZX,T3,PVG,T2,CA,A320
CA1895,7:55:00,10:15:00,50,580,PEK,T2,SQD,T1,CA,B738
CA1896,11:00:00,13:20:00,50,750,SQD,T1,PEK,T2,CA,A320
CA1897,12:15:00,14:00:00,50,560,PEK,T3,LYG,T1,CA,B738
CA1898,14:45:00,16:35:00,50,670,LYG,T1,PEK,T3,CA,A320
CA1899,8:15:00,10:05:00,50,740,PEK,T3,NTG,T1,CA,A321
CA1900,10:50:00,12:40:00,50,450,NTG,T1,PEK,T3,CA,A320
CA1901,9:15:00,13:35:00,50,1190,PEK,T3,URC,T1,CA,B738
CA1902,14:45:00,18:30:00,50,1050,URC,T1,PEK,T3,CA,A333
CA1905,8:30:00,12:00:00,50,810,PEK,T3,ZUH,T1,CA,A333
CA1906,12:50:00,16:05:00,50,680,ZUH,T1,PEK,T3,CA,A321
CA1907,18:35:00,22:00:00,50,810,PEK,T3,ZUH,T1,CA,A321
CA1908,7:30:00,10:35:00,50,630,ZUH,T1,PEK,T3,CA,B738
CA1911,16:15:00,19:45:00,50,900,PEK,T2,BHY,T1,CA,A321
CA1913,14:35:00,16:15:00,50,600,PEK,T3,CGO,T2,CA,B738
CA1914,17:15:00,19:15:00,50,660,CGO,T2,PEK,T3,CA,A320
CA1915,21:05:00,22:50:00,50,710,PEK,T3,CGO,T2,CA,B737
CA1916,9:05:00,10:40:00,50,420,CGO,T2,PEK,T3,CA,A321
CA1917,6:45:00,10:00:00,50,790,PEK,T3,HUZ,T1,CA,A320
CA1918,10:45:00,13:50:00,50,610,HUZ,T1,PEK,T3,CA,A321
CA1919,17:15:00,21:00:00,50,870,PEK,T3,HAK,T1,CA,A320
CA1920,9:05:00,12:45:00,50,870,HAK,T1,PEK,T3,CA,B789
CA1921,16:45:00,19:15:00,50,920,PEK,T2,HNY,T1,CA,B738
CA1923,9:00:00,11:15:00,50,500,PEK,T3,WDS,T1,CA,A321
CA1925,7:25:00,11:05:00,50,1230,PEK,T3,ZHA,T1,CA,A333
CA1926,11:50:00,15:25:00,50,1180,ZHA,T1,PEK,T3,CA,B738
CA1927,19:00:00,21:45:00,50,680,PEK,T3,CSX,T1,CA,A320
CA1929,17:45:00,19:55:00,50,690,PEK,T2,YIH,T1,CA,B737
CA1930,20:40:00,22:55:00,50,880,YIH,T1,PEK,T2,CA,B738
CA1931,19:30:00,23:05:00,50,790,PEK,T3,NNG,T2,CA,B738
CA1932,8:00:00,11:25:00,50,920,NNG,T2,PEK,T3,CA,A321
CA1933,15:15:00,18:45:00,50,640,PEK,T3,NNG,T2,CA,B738
CA1934,19:35:00,22:55:00,50,710,NNG,T2,PEK,T3,CA,B738
CA1935,11:10:00,14:50:00,50,650,PEK,T3,NNG,T2,CA,B738
CA1936,15:40:00,19:00:00,50,1160,NNG,T2,PEK,T3,CA,A333
CA1937,17:30:00,20:30:00,50,1030,PEK,T3,KWL,T2,CA,A321
CA1938,21:15:00,0:15:00,50,920,KWL,T2,PEK,T3,CA,B738
CA1939,8:00:00,11:15:00,50,800,PEK,T3,KWL,T1,CA,A320
CA1951,8:55:00,12:10:00,50,820,PEK,T3,LZH,T1,CA,A321
CA1955,9:55:00,12:45:00,50,1010,PEK,T3,WGN,T1,CA,A321
CA1956,13:30:00,16:15:00,50,780,WGN,T1,PEK,T2,CA,A320
CA1971,16:15:00,18:40:00,50,570,PEK,T3,CSX,T1,CA,B738
CA1972,19:55:00,22:25:00,50,870,CSX,T1,PEK,T2,CA,A321
CA2501,13:45:00,17:35:00,50,840,TFU,T2,KRY,T1,CA,A321
CA2502,18:25:00,22:05:00,50,940,KRY,T1,TFU,T2,CA,B789
CA2503,15:20:00,19:55:00,50,1220,TFU,T2,HTN,T1,CA,B738
CA2504,20:45:00,0:55:00,50,1260,HTN,T1,TFU,T2,CA,B738
CA2505,12:55:00,17:10:00,50,1320,TFU,T2,URC,T1,CA,A321
CA2506,6:50:00,11:00:00,50,1260,URC,T1,TFU,T2,CA,A333
CA2507,18:10:00,22:00:00,50,900,TFU,T2,KRL,T1,CA,A333
CA2508,8:00:00,11:40:00,50,1150,KRL,T1,TFU,T2,CA,A321
CA2509,6:50:00,11:30:00,50,1240,TFU,T2,HTN,T1,CA,B738
CA2510,12:20:00,16:30:00,50,1130,HTN,T1,TFU,T2,CA,A321
CA2515,16:25:00,20:50:00,50,920,TFU,T2,YIN,T1,CA,B738
CA2516,21:50:00,1:50:00,50,1210,YIN,T1,TFU,T2,CA,A321
CA2521,7:05:00,10:55:00,50,680,TFU,T2,KRL,T1,CA,A320
CA2522,11:45:00,15:25:00,50,780,KRL,T1,TFU,T2,CA,B789
CA2525,7:05:00,11:50:00,50,1360,TFU,T2,KHG,T2,CA,A333
CA2526,12:40:00,17:00:00,50,930,KHG,T2,TFU,T2,CA,A321
CA2527,14:40:00,18:50:00,50,1010,TFU,T2,AKU,T1,CA,A320
CA2528,19:40:00,23:30:00,50,1180,AKU,T1,TFU,T2,CA,A333
CA2529,15:40:00,19:20:00,50,670,TFU,T2,URC,T1,CA,B738
CA2531,14:20:00,16:55:00,50,620,TFU,T2,LXA,T3,CA,A320
CA2532,17:45:00,20:10:00,50,740,LXA,T3,TFU,T2,CA,ARJ21
CA2533,7:35:00,9:40:00,50,490,TFU,T2,LZY,T1,CA,ARJ21
CA2534,10:30:00,12:30:00,50,850,LZY,T1,TFU,T2,CA,A321
CA2535,11:10:00,13:30:00,50,510,AHJ,T1,LXA,T3,CA,B737
CA2536,13:50:00,14:55:00,50,600,AHJ,T1,TFU,T2,CA,ARJ21
CA2537,7:20:00,9:50:00,50,540,TFU,T2,LXA,T3,CA,A321
CA2538,10:50:00,13:10:00,50,820,LXA,T3,TFU,T2,CA,B738
CA2539,6:35:00,8:50:00,50,500,TFU,T2,LZY,T1,CA,A321
CA2540,11:40:00,13:30:00,50,820,LZY,T1,TFU,T2,CA,A320
CA2541,21:30:00,23:10:00,50,430,TFU,T2,KMG,T1,CA,B737
CA2542,9:05:00,10:30:00,50,700,KMG,T1,TFU,T2,CA,B738
CA2545,13:50:00,15:20:00,50,410,TFU,T2,KMG,T1,CA,A319
CA2546,16:25:00,17:45:00,50,680,KMG,T1,TFU,T2,CA,A320
CA2549,8:30:00,10:20:00,50,520,TFU,T2,LUM,T1,CA,A321
CA2550,11:05:00,12:45:00,50,610,LUM,T1,TFU,T2,CA,A319
CA2551,7:25:00,8:55:00,50,440,TFU,T2,DLU,T1,CA,B738
CA2552,11:05:00,12:40:00,50,710,DLU,T1,TFU,T2,CA,A319
CA2555,13:35:00,15:05:00,50,490,TFU,T2,DLU,T1,CA,B738
CA2556,16:25:00,17:50:00,50,480,DLU,T1,TFU,T2,CA,A320
CA2557,15:55:00,17:50:00,50,530,TFU,T2,JHG,T1,CA,B738
CA2558,18:40:00,20:35:00,50,500,JHG,T1,TFU,T2,CA,B737
CA2559,15:35:00,16:50:00,50,690,TFU,T2,KWE,T3,CA,ARJ21
CA2560,17:55:00,19:00:00,50,420,KWE,T3,TFU,T2,CA,A319
CA2561,7:25:00,8:40:00,50,630,TFU,T2,DCY,T1,CA,A320
CA2562,9:30:00,10:40:00,50,390,DCY,T1,TFU,T2,CA,A320
CA2563,7:50:00,9:00:00,50,530,TFU,T2,XIC,T1,CA,ARJ21
CA2564,9:50:00,10:50:00,50,420,XIC,T1,TFU,T2,CA,B738
CA2567,13:40:00,15:00:00,50,690,TFU,T2,LJG,T1,CA,B737
CA2568,15:50:00,17:20:00,50,490,LJG,T1,TFU,T2,CA,A321
CA2569,18:50:00,20:20:00,50,460,TFU,T2,LJG,T1,CA,A320
CA2581,17:35:00,19:25:00,50,590,TFU,T2,LHW,T3,CA,B737
CA2582,20:25:00,22:20:00,50,830,LHW,T3,TFU,T2,CA,B738
CA2593,7:40:00,9:15:00,50,500,TFU,T2,XNN,T3,CA,B737
CA2594,10:10:00,11:50:00,50,710,XNN,T3,TFU,T2,CA,B738
CA2595,10:45:00,12:40:00,50,700,TFU,T2,INC,T1,CA,A319
CA2596,13:30:00,15:45:00,50,560,INC,T1,TFU,T2,CA,B738
CA2599,18:25:00,19:55:00,50,450,TFU,T2,XNN,T3,CA,A319
CA2600,20:45:00,22:25:00,50,550,XNN,T3,TFU,T2,CA,B737
CA2601,9:00:00,11:35:00,50,960,TFU,T2,NTG,T1,CA,B737
CA2602,12:25:00,15:20:00,50,660,NTG,T1,TFU,T2,CA,B738
CA2603,17:45:00,20:30:00,50,840,TFU,T2,NTG,T1,CA,A320
CA2605,16:30:00,19:10:00,50,780,TFU,T2,LYG,T1,CA,A321
CA2609,8:15:00,10:55:00,50,880,TFU,T2,YNT,T2,CA,B737
CA2610,12:00:00,14:55:00,50,1070,YNT,T2,TFU,T2,CA,A321
CA2611,16:15:00,18:55:00,50,590,TFU,T2,TAO,T1,CA,A319
CA2612,20:05:00,23:15:00,50,1010,TAO,T1,TFU,T2,CA,A333
CA2615,17:15:00,19:20:00,50,500,TFU,T2,KHN,T2,CA,B738
CA2616,20:15:00,22:45:00,50,900,KHN,T2,TFU,T2,CA,A320
CA2617,20:25:00,22:55:00,50,750,TFU,T2,NKG,T1,CA,A320
CA2618,9:10:00,11:50:00,50,680,NKG,T1,TFU,T2,CA,A321
CA2619,11:35:00,13:10:00,50,520,WUH,T3,JUZ,T1,CA,B738
CA2620,16:55:00,19:15:00,50,620,WUH,T3,TFU,T2,CA,A320
CA2621,11:35:00,14:15:00,50,880,TFU,T2,YNT,T2,CA,A320
CA2622,15:05:00,18:15:00,50,900,YNT,T2,TFU,T2,CA,A333
CA2627,7:35:00,10:00:00,50,770,TFU,T2,CZX,T1,CA,ARJ21
CA2628,11:00:00,13:45:00,50,980,CZX,T1,TFU,T2,CA,A321
CA2629,9:30:00,11:30:00,50,710,TFU,T2,HFE,T1,CA,A319
CA2630,12:20:00,15:00:00,50,680,HFE,T1,TFU,T2,CA,A320
CA2633,17:35:00,20:00:00,50,710,TFU,T2,CZX,T1,CA,B737
CA2634,20:50:00,23:30:00,50,530,CZX,T1,TFU,T2,CA,A320
CA2639,17:35:00,19:50:00,50,690,TFU,T2,TNA,T1,CA,A320
CA2640,21:00:00,23:40:00,50,570,TNA,T1,TFU,T2,CA,A320
CA2641,9:50:00,12:20:00,50,550,TFU,T2,KHN,T2,CA,ARJ21
CA2642,13:10:00,15:40:00,50,610,KHN,T2,TFU,T2,CA,B738
CA2649,11:55:00,14:25:00,50,600,TFU,T2,WUS,T1,CA,A319
CA2650,15:15:00,17:45:00,50,800,WUS,T1,TFU,T2,CA,A321
CA2653,8:45:00,10:40:00,50,670,TFU,T2,CSX,T1,CA,A319
CA2654,11:50:00,13:45:00,50,830,CSX,T1,TFU,T2,CA,A321
CA2657,17:25:00,19:45:00,50,540,TFU,T2,ZHA,T1,CA,ARJ21
CA2659,18:15:00,20:30:00,50,550,TFU,T2,HUZ,T1,CA,A320
CA2660,21:20:00,23:35:00,50,800,HUZ,T1,TFU,T2,CA,A320
CA2662,11:35:00,13:45:00,50,510,ZHA,T1,TFU,T2,CA,A321
CA2663,15:15:00,17:50:00,50,850,TFU,T2,SWA,T1,CA,B737
CA2664,19:00:00,21:40:00,50,840,SWA,T1,TFU,T2,CA,A321
CA2665,14:00:00,16:00:00,50,700,TFU,T2,BHY,T1,CA,B737
CA2666,17:00:00,19:05:00,50,630,BHY,T1,TFU,T2,CA,A319
CA2667,11:45:00,13:45:00,50,640,TFU,T2,NNG,T2,CA,B737
CA2668,14:55:00,16:45:00,50,420,NNG,T2,TFU,T2,CA,B738
CA2671,7:55:00,10:05:00,50,830,TFU,T2,BHY,T1,CA,A320
CA2672,10:55:00,13:00:00,50,610,BHY,T1,TFU,T2,CA,A321
CA2673,17:40:00,20:25:00,50,730,TFU,T2,NGB,T2,CA,A321
CA2674,13:35:00,16:35:00,50,560,NGB,T2,TFU,T2,CA,B789
CA2677,7:20:00,9:45:00,50,610,TFU,T2,ZUH,T1,CA,ARJ21
CA2678,10:55:00,13:35:00,50,990,ZUH,T1,TFU,T2,CA,ARJ21
CA2681,8:50:00,10:50:00,50,710,TFU,T2,HNY,T1,CA,B738
CA2682,11:45:00,14:00:00,50,810,HNY,T1,TFU,T2,CA,B737
CA2689,17:55:00,19:45:00,50,570,TFU,T2,NNG,T2,CA,A321
CA2693,17:25:00,19:45:00,50,800,TFU,T2,ZUH,T1,CA,A319
CA2694,20:35:00,23:00:00,50,950,ZUH,T1,TFU,T2,CA,A321
CA2695,9:55:00,11:50:00,50,620,TFU,T2,CGO,T2,CA,B737
CA2696,12:50:00,15:10:00,50,710,CGO,T2,TFU,T2,CA,A321
CA2701,15:30:00,17:10:00,50,780,TFU,T2,YCU,T1,CA,A320
CA2702,18:00:00,19:55:00,50,620,YCU,T1,TFU,T2,CA,B738
CA2703,18:35:00,20:40:00,50,840,TFU,T2,TYN,T1,CA,B737
CA2704,21:35:00,0:05:00,50,520,TYN,T1,TFU,T2,CA,A321
CA2705,14:50:00,16:55:00,50,730,TFU,T2,DSN,T1,CA,A320
CA2706,17:45:00,20:05:00,50,630,DSN,T1,TFU,T2,CA,B737
CA2707,16:05:00,18:25:00,50,930,TFU,T2,SJW,T1,CA,B738
CA2708,19:30:00,22:15:00,50,540,SJW,T1,TFU,T2,CA,A321
CA2711,16:20:00,19:35:00,50,960,TFU,T2,SHE,T3,CA,A333
CA2712,20:35:00,0:45:00,50,1000,SHE,T3,TFU,T2,CA,B738
CA2713,7:45:00,11:30:00,50,1140,TFU,T2,CGQ,T2,CA,A320
CA2714,12:30:00,16:55:00,50,1240,CGQ,T2,TFU,T2,CA,A320
CA2718,14:50:00,17:35:00,50,860,DOY,T1,TFU,T2,CA,A320
CA2719,19:05:00,22:50:00,50,800,TFU,T2,CGQ,T2,CA,B789
CA2721,12:55:00,16:40:00,50,1010,TFU,T2,CGQ,T2,CA,A321
CA2722,17:35:00,22:05:00,50,1290,CGQ,T2,TFU,T2,CA,A321
CA2731,8:40:00,10:45:00,50,690,TFU,T2,TYN,T1,CA,B738
CA2732,11:35:00,13:55:00,50,880,TYN,T1,TFU,T2,CA,A321
CA2733,8:35:00,10:50:00,50,770,TFU,T2,SJW,T1,CA,A320
CA2734,11:40:00,14:15:00,50,840,SJW,T1,TFU,T2,CA,B738
CA2735,16:25:00,20:15:00,50,1190,TFU,T2,HRB,T2,CA,B789
CA2736,9:50:00,14:30:00,50,920,HRB,T2,TFU,T2,CA,B738
CA2737,14:40:00,16:30:00,50,760,TFU,T2,KWL,T2,CA,B738
CA2738,17:20:00,19:05:00,50,590,KWL,T2,TFU,T2,CA,A320
CA2739,7:00:00,10:50:00,50,860,TFU,T2,HRB,T2,CA,B738
CA2740,11:50:00,16:25:00,50,1300,HRB,T2,TFU,T2,CA,A321
CA2741,7:35:00,11:00:00,50,1180,TFU,T2,SHE,T3,CA,A321
CA2742,12:05:00,16:15:00,50,860,SHE,T3,TFU,T2,CA,B789
CA2747,7:50:00,10:35:00,50,870,TFU,T2,LYI,T2,CA,B737
CA2748,11:25:00,14:20:00,50,980,LYI,T2,TFU,T2,CA,B738
CA2751,7:00:00,11:20:00,50,900,TFU,T2,YIN,T1,CA,A333
CA2752,12:20:00,16:20:00,50,1310,YIN,T1,TFU,T2,CA,B738
CA2753,15:25:00,18:10:00,50,740,TFU,T2,JUZ,T1,CA,B738
CA2754,19:00:00,21:50:00,50,550,JUZ,T1,TFU,T2,CA,A319
CA2757,17:20:00,19:55:00,50,890,TFU,T2,SWA,T1,CA,B738
CA2761,7:50:00,10:10:00,50,750,TFU,T2,TNA,T1,CA,A320
CA2762,11:25:00,14:10:00,50,850,TNA,T1,TFU,T2,CA,A320
CA2763,11:40:00,14:15:00,50,650,TFU,T2,LXA,T3,CA,B738
CA2764,15:05:00,17:20:00,50,860,LXA,T3,TFU,T2,CA,B738
CA2765,12:50:00,15:30:00,50,920,TFU,T2,JJN,T1,CA,B738
CA2766,16:20:00,19:20:00,50,1060,JJN,T1,TFU,T2,CA,A333
CA2767,16:55:00,19:30:00,50,990,TFU,T2,YIW,T1,CA,A320
CA2768,20:20:00,22:55:00,50,660,YIW,T1,TFU,T2,CA,A320
CA2773,18:50:00,20:55:00,50,660,TFU,T2,CGO,T2,CA,A320
CA2775,18:10:00,21:00:00,50,630,TFU,T2,HMI,T1,CA,B738
CA2787,7:45:00,10:35:00,50,720,TFU,T2,XMN,T4,CA,A321
CA2788,11:35:00,14:25:00,50,1050,XMN,T4,TFU,T2,CA,B738
CA2791,15:15:00,17:40:00,50,580,TFU,T2,TNA,T1,CA,B738
CA2792,18:45:00,21:25:00,50,770,TNA,T1,TFU,T2,CA,B737
CA2801,7:20:00,10:35:00,50,580,TSN,T2,CAN,T3,CA,B738
CA2802,11:45:00,14:55:00,50,660,CAN,T3,TSN,T2,CA,A320
CA2803,14:55:00,18:15:00,50,1070,TSN,T2,CAN,T3,CA,B738
CA2804,19:20:00,22:35:00,50,750,CAN,T3,TSN,T2,CA,B738
CA2805,18:00:00,21:20:00,50,950,TSN,T2,CAN,T3,CA,B789
CA2811,14:30:00,17:55:00,50,750,TSN,T2,SZX,T3,CA,A321
CA2812,19:25:00,22:50:00,50,780,SZX,T3,TSN,T2,CA,B738
CA2813,7:20:00,10:50:00,50,770,TSN,T2,SZX,T3,CA,B738
CA2814,11:55:00,15:15:00,50,1070,SZX,T3,TSN,T2,CA,B738
CA2817,18:30:00,21:50:00,50,850,TSN,T2,SZX,T3,CA,B738
CA2819,12:30:00,15:40:00,50,660,TSN,T2,SZX,T3,CA,A321
CA2820,16:45:00,19:55:00,50,1120,SZX,T3,TSN,T2,CA,A333
CA2821,14:55:00,17:05:00,50,550,TSN,T2,SHA,T2,CA,A321
CA2822,18:25:00,21:00:00,50,740,SHA,T2,TSN,T2,CA,B738
CA2823,16:30:00,18:35:00,50,730,TSN,T2,SHA,T2,CA,A321
CA2824,19:40:00,22:00:00,50,640,SHA,T2,TSN,T2,CA,A320
CA2825,7:40:00,9:45:00,50,650,TSN,T2,SHA,T2,CA,B737
CA2826,10:50:00,12:55:00,50,580,SHA,T2,TSN,T2,CA,A321
CA2831,16:30:00,18:50:00,50,910,TSN,T2,PVG,T2,CA,A320
CA2835,15:55:00,18:05:00,50,540,TSN,T2,HGH,T4,CA,B737
CA2836,19:10:00,21:30:00,50,780,HGH,T4,TSN,T2,CA,B738
CA2837,6:55:00,9:50:00,50,890,TSN,T2,XMN,T4,CA,B737
CA2838,11:05:00,13:55:00,50,620,XMN,T4,TSN,T2,CA,A320
CA2839,8:15:00,10:45:00,50,580,TSN,T2,PVG,T2,CA,B738
CA2840,11:55:00,14:15:00,50,930,PVG,T2,TSN,T2,CA,A321
CA2841,15:45:00,17:50:00,50,730,TSN,T2,WUH,T3,CA,A320
CA2842,18:50:00,20:55:00,50,520,WUH,T3,TSN,T2,CA,ARJ21
CA2845,8:20:00,10:35:00,50,800,TSN,T2,HGH,T4,CA,B738
CA2846,12:00:00,13:55:00,50,550,HGH,T4,TSN,T2,CA,B738
CA2847,10:00:00,12:10:00,50,660,TSN,T2,HGH,T4,CA,B738
CA2848,13:15:00,15:30:00,50,800,HGH,T4,TSN,T2,CA,B738
CA2861,7:50:00,10:40:00,50,600,TSN,T2,CKG,T3,CA,A320
CA2862,12:00:00,14:40:00,50,850,CKG,T3,TSN,T2,CA,A320
CA2865,8:55:00,12:40:00,50,1030,TSN,T2,KWE,T3,CA,A321
CA2866,13:50:00,16:55:00,50,1110,KWE,T3,TSN,T2,CA,A320
CA2867,15:40:00,19:20:00,50,900,TSN,T2,KMG,T1,CA,A333
CA2868,20:25:00,23:50:00,50,740,KMG,T1,TSN,T2,CA,A320
CA2872,14:05:00,17:30:00,50,770,KMG,T1,TSN,T2,CA,A321
CA2875,7:15:00,9:20:00,50,630,TSN,T2,XIY,T2,CA,A320
CA2876,10:25:00,12:25:00,50,760,XIY,T2,TSN,T2,CA,A321
CA2885,16:15:00,18:50:00,50,510,TSN,T2,CSX,T1,CA,B738
CA2887,7:50:00,11:20:00,50,1060,TSN,T2,ZUH,T1,CA,A321
CA2888,12:20:00,15:30:00,50,1120,ZUH,T1,TSN,T2,CA,A321
CA2889,14:55:00,18:35:00,50,1150,TSN,T2,ZUH,T1,CA,A333
CA2890,19:45:00,23:00:00,50,860,ZUH,T1,TSN,T2,CA,B738
CA2891,7:15:00,9:55:00,50,700,TSN,T2,LHW,T3,CA,B738
CA2892,11:00:00,13:30:00,50,670,LHW,T3,TSN,T2,CA,A319
CA2893,17:30:00,19:35:00,50,510,TSN,T2,XIY,T2,CA,B738
CA2905,16:35:00,20:15:00,50,670,TSN,T2,NNG,T2,CA,A333
CA2906,21:20:00,0:45:00,50,770,NNG,T2,TSN,T2,CA,B738
CA2915,12:30:00,14:40:00,50,670,TSN,T2,XIY,T2,CA,B737
CA2916,15:45:00,17:50:00,50,800,XIY,T2,TSN,T2,CA,A321
CA2919,7:00:00,8:00:00,50,330,TSN,T2,DLC,T1,CA,A320
CA2920,9:05:00,10:00:00,50,560,DLC,T1,TSN,T2,CA,B737
CA2931,13:50:00,15:00:00,50,410,TSN,T2,DLC,T1,CA,B738
CA2932,16:05:00,17:20:00,50,460,DLC,T1,TSN,T2,CA,A320
CA2937,8:00:00,9:40:00,50,740,TSN,T2,CGQ,T2,CA,A320
CA2938,11:05:00,12:55:00,50,510,CGQ,T2,TSN,T2,CA,A320
CA2951,7:30:00,10:35:00,50,1000,TSN,T2,TFU,T2,CA,A321
CA2952,11:40:00,14:30:00,50,710,TFU,T2,TSN,T2,CA,B737
CA2953,9:30:00,12:35:00,50,840,TSN,T2,TFU,T2,CA,A320
CA2954,13:45:00,16:30:00,50,580,TFU,T2,TSN,T2,CA,B738
CA2955,13:00:00,15:50:00,50,550,TSN,T2,TFU,T2,CA,B738
CA2956,17:10:00,19:35:00,50,490,TFU,T2,TSN,T2,CA,A320
CA2957,16:00:00,19:10:00,50,840,TSN,T2,TFU,T2,CA,A321
CA2961,8:30:00,11:40:00,50,960,TSN,T2,CTU,T2,CA,A333
CA2962,12:45:00,15:30:00,50,880,CTU,T2,TSN,T2,CA,A320
CA2963,15:00:00,18:10:00,50,800,TSN,T2,CTU,T2,CA,B738
CA2964,19:15:00,21:55:00,50,590,CTU,T2,TSN,T2,CA,B738
CA2969,19:30:00,22:30:00,50,970,TSN,T2,CTU,T2,CA,A320
CA2970,9:15:00,11:55:00,50,800,CTU,T2,TSN,T2,CA,B737
CA2975,11:00:00,13:50:00,50,930,TSN,T2,KWL,T2,CA,A319
CA2976,14:40:00,17:20:00,50,640,KWL,T2,TSN,T2,CA,A321
CA3099,2:05:00,4:55:00,50,890,CTU,T1,PVG,T1,CA,B738
CA3121,2:00:00,4:30:00,50,550,CAN,T1,PEK,T1,CA,A320
CA3133,1:10:00,4:00:00,50,960,PVG,T1,PEK,T1,CA,B738
CA3203,18:45:00,21:25:00,50,1020,PVG,T2,TEN,T1,CA,ARJ21
CA3204,22:10:00,0:25:00,50,870,TEN,T1,PVG,T2,CA,B737
CA3208,18:25:00,20:45:00,50,600,CAN,T3,PVG,T2,CA,A321
CA3209,10:30:00,12:40:00,50,590,YKH,T1,PVG,T2,CA,A320
CA3210,16:50:00,19:45:00,50,750,PVG,T2,CIF,T1,CA,B738
CA3211,8:10:00,12:15:00,50,1110,PVG,T2,JHG,T1,CA,A333
CA3213,10:30:00,13:00:00,50,950,HSC,T1,PVG,T2,CA,A320
CA3214,7:35:00,9:45:00,50,690,PVG,T2,YKH,T1,CA,B738
